Interval Start,Internal CO2 (tonnes),Exported CO2 (tonnes),Imported CO2 (tonnes),Load,VRE,Total_CO2_Emissions,delta_Load,delta_VRE,delta_Total_CO2_Emissions
2023-01-01 08:00:00+00:00,4666.8045799500005,1309.262999775,1432.543998165,5593.0,134.0,4790.08557834,-38.0,-185.0,150.53011423499993
2023-01-01 09:00:00+00:00,4611.8563845,1386.78286521,1449.9311058750002,5429.0,138.0,4675.004625165,-164.0,4.0,-115.0809531750001
2023-01-01 10:00:00+00:00,4586.72736,1361.146724295,1436.326959615,5391.0,148.0,4661.90759532,-38.0,10.0,-13.09702984500018
2023-01-01 11:00:00+00:00,4607.8647705,1411.04462085,1384.96486647,5408.0,215.0,4581.785016119999,17.0,67.0,-80.12257920000047
2023-01-01 12:00:00+00:00,4499.3654445,1300.80894276,1308.941856285,5453.0,339.0,4507.498358025,45.0,124.0,-74.28665809499944
2023-01-01 13:00:00+00:00,4494.920238000001,1249.37155326,1257.7757151,5543.0,391.0,4503.32439984,90.0,52.0,-4.173958184999719
2023-01-01 14:00:00+00:00,4458.5421195,1292.5272508950002,1299.4808239200001,5661.0,708.0,4465.495692525,118.0,317.0,-37.82870731500043
2023-01-01 15:00:00+00:00,4507.83492366,1214.4667032,1145.256652365,5781.0,920.0,4438.624872825,120.0,212.0,-26.87081969999963
2023-01-01 16:00:00+00:00,4801.781007359999,1303.30914462,995.2055318100001,5847.0,983.0,4493.67739455,66.0,63.0,55.05252172499968
2023-01-01 17:00:00+00:00,4659.3384474,1269.7578145799998,1012.97728596,5914.0,1189.0,4402.55791878,67.0,206.0,-91.11947576999955
2023-01-01 18:00:00+00:00,4527.941772,1271.048738835,1104.752656485,5976.0,1326.0,4361.64568965,62.0,137.0,-40.912229130000014
2023-01-01 19:00:00+00:00,4349.3170455,1182.425836185,1188.050383185,5954.0,1315.0,4354.9415925,-22.0,-11.0,-6.704097150000052
